Level;Description;Number;Onset_Date;Onset_Time;Offset_Date;Offset_Time;Duration_Date;Duration_Time;Mutual;Avert;Refer;Follow;Share;Single gaze;Supporting gesture;Supporting behavior;Transcript
3;;137;0d;00:01:35.880;0d;00:01:36.240;0d;00:00:00.400;;;;;Share - CT;;;;
3;;138;0d;00:01:36.200;0d;00:01:37.240;0d;00:00:01.080;;;;;;;Supporting behavior- T;;sound, gesture
3;;139;0d;00:01:36.240;0d;00:01:36.880;0d;00:00:00.680;Mutual - CT;;;;;;;;
3;;140;0d;00:01:36.920;0d;00:01:37.240;0d;00:00:00.360;;;Refer - CT;;;;;;
3;;141;0d;00:01:37.160;0d;00:01:37.240;0d;00:00:00.120;;;;Follow - T;;;;;
3;;142;0d;00:01:37.240;0d;00:01:37.520;0d;00:00:00.320;;;;;Share - CT;;;;
3;;143;0d;00:01:37.560;0d;00:01:38.160;0d;00:00:00.640;;;Refer - CT;;;;;;
3;;144;0d;00:01:38.120;0d;00:01:38.160;0d;00:00:00.080;;;;Follow - T;;;;;
3;;145;0d;00:01:38.160;0d;00:01:38.920;0d;00:00:00.800;;;;;Share - CT;;;;
3;;146;0d;00:01:39.000;0d;00:01:39.280;0d;00:00:00.320;;;;;;Single gaze - C;;;Testerin
3;;147;0d;00:01:39.280;0d;00:01:39.560;0d;00:00:00.320;Mutual - CT;;;;;;;;
3;;148;0d;00:01:39.560;0d;00:01:40.400;0d;00:00:00.880;;;Refer -T;;;;;;
3;;149;0d;00:01:39.560;0d;00:01:43.040;0d;00:00:03.520;;;;;;;Supporting behavior- T;;gesture, sound
3;;150;0d;00:01:39.640;0d;00:01:39.720;0d;00:00:00.120;;;;Follow - CT;;;;;
3;;151;0d;00:01:39.720;0d;00:01:40.360;0d;00:00:00.680;;;;;;Single gaze - C;;;plakat
3;;152;0d;00:01:40.360;0d;00:01:40.600;0d;00:00:00.280;;;;Follow - CT;;;;;
3;;153;0d;00:01:40.600;0d;00:01:49.080;0d;00:00:08.520;;;;;Share - CT;;;;
3;;154;0d;00:01:43.440;0d;00:01:44.960;0d;00:00:01.560;;;;;;;Supporting behavior- T;;gesture
3;;155;0d;00:01:48.200;0d;00:01:50.000;0d;00:00:01.840;;;;;;;Supporting behavior- CT;;gesture
3;;156;0d;00:01:49.360;0d;00:01:49.560;0d;00:00:00.240;Mutual - CT;;;;;;;;
3;;157;0d;00:01:49.600;0d;00:01:51.280;0d;00:00:01.720;;;Refer - CT;;;;;;
3;;158;0d;00:01:51.200;0d;00:01:51.280;0d;00:00:00.120;;;;Follow - T;;;;;
3;;159;0d;00:01:51.280;0d;00:01:58.600;0d;00:00:07.360;;;;;Share - CT;;;;
3;;160;0d;00:01:51.760;0d;00:01:57.880;0d;00:00:06.160;;;;;;;Supporting behavior- T;;gesture
3;;161;0d;00:01:58.680;0d;00:01:59.200;0d;00:00:00.560;Mutual - CT;;;;;;;;
3;;162;0d;00:01:59.280;0d;00:02:00.040;0d;00:00:00.800;;;Refer - CT;;;;;;
3;;163;0d;00:02:00.040;0d;00:02:00.120;0d;00:00:00.120;;;;Follow - T;;;;;
3;;164;0d;00:02:00.120;0d;00:02:11.760;0d;00:00:11.680;;;;;Share - CT;;;;
3;;165;0d;00:02:00.360;0d;00:02:02.720;0d;00:00:02.400;;;;;;;Supporting behavior- T;;gesture
3;;166;0d;00:02:11.960;0d;00:02:18.760;0d;00:00:06.840;;;;;;Single gaze - C;;;Plakat
3;;167;0d;00:02:13.520;0d;00:02:21.160;0d;00:00:07.680;;;;;;;Supporting behavior- T;;gesture, language, point
3;;168;0d;00:02:18.800;0d;00:02:19.000;0d;00:00:00.240;;;;;Share - CT;;;;
3;;169;0d;00:02:19.000;0d;00:02:20.960;0d;00:00:02.000;;;Refer - CT;;;;;;
3;;170;0d;00:02:20.120;0d;00:02:21.000;0d;00:00:00.920;;;;;;;Supporting behavior- CT;;gesture, language, point
3;;171;0d;00:02:20.960;0d;00:02:21.400;0d;00:00:00.480;Mutual - CT;;;;;;;;
3;;172;0d;00:02:21.440;0d;00:02:21.960;0d;00:00:00.560;;;;Follow - T;;;;;
3;;173;0d;00:02:21.760;0d;00:02:22.440;0d;00:00:00.720;;;;;;Single gaze - C;;;target
3;;174;0d;00:02:22.600;0d;00:02:22.640;0d;00:00:00.080;Mutual - CT;;;;;;;;
3;;175;0d;00:02:22.640;0d;00:02:23.040;0d;00:00:00.440;;;Refer -T;;;;;;
3;;176;0d;00:02:22.720;0d;00:02:24.160;0d;00:00:01.480;;;;;;;Supporting behavior- T;;language,
3;;177;0d;00:02:22.720;0d;00:02:24.400;0d;00:00:01.720;;;;;;Single gaze - C;;;
3;;178;0d;00:02:24.160;0d;00:02:26.280;0d;00:00:02.160;;;;;;;Supporting behavior- T;;language, gesture
3;;179;0d;00:02:24.280;0d;00:02:24.640;0d;00:00:00.400;;;Refer -T;;;;;;
3;;180;0d;00:02:24.480;0d;00:02:24.640;0d;00:00:00.200;;;;Follow - CT;;;;;
3;;181;0d;00:02:24.640;0d;00:02:38.120;0d;00:00:13.520;;;;;Share - CT;;;;
3;;182;0d;00:02:38.240;0d;00:02:38.840;0d;00:00:00.640;Mutual - CT;;;;;;;;
3;;183;0d;00:02:39.120;0d;00:02:39.640;0d;00:00:00.560;;;Refer - CT;;;;;;
3;;184;0d;00:02:39.280;0d;00:02:40.840;0d;00:00:01.600;;;;;;;Supporting behavior- T;;language, gesture
3;;185;0d;00:02:39.600;0d;00:02:39.640;0d;00:00:00.080;;;;Follow - T;;;;;
3;;186;0d;00:02:39.640;0d;00:02:57.560;0d;00:00:17.960;;;;;Share - CT;;;;
3;;187;0d;00:02:57.600;0d;00:02:58.640;0d;00:00:01.080;;Avert - CT;;;;;;;
3;;188;0d;00:02:58.880;0d;00:03:00.200;0d;00:00:01.360;;;;;Share - CT;;;;<BR>
3;;189;0d;00:02:59.080;0d;00:03:00.120;0d;00:00:01.080;;;;;;;Supporting behavior- T;;language,
3;;190;0d;00:03:00.320;0d;00:03:00.560;0d;00:00:00.280;Mutual - CT;;;;;;;;
3;;191;0d;00:03:00.760;0d;00:03:00.880;0d;00:00:00.160;;;Refer - CT;;;;;;
3;;192;0d;00:03:00.800;0d;00:03:00.880;0d;00:00:00.120;;;;Follow - T;;;;;
3;;193;0d;00:03:00.880;0d;00:03:01.680;0d;00:00:00.840;;;;;Share - CT;;;;<BR>
3;;194;0d;00:03:01.760;0d;00:03:01.840;0d;00:00:00.120;Mutual - CT;;;;;;;;
3;;195;0d;00:03:01.800;0d;00:03:02.960;0d;00:00:01.200;;;;;;;Supporting behavior- CT;;gesture
3;;196;0d;00:03:01.880;0d;00:03:02.240;0d;00:00:00.400;;;Refer -T;;;;;;
3;;197;0d;00:03:02.200;0d;00:03:02.240;0d;00:00:00.080;;;;Follow - CT;;;;;
3;;198;0d;00:03:02.240;0d;00:03:16.360;0d;00:00:14.160;;;;;Share - CT;;;;<BR>
